Test Step,Description,Test Class,Started,Finished,Duration(sec),Status,FailureMessage,Additional Parameters,

signOutEmployerTest,,DashboardPageTest,05:50:58 PM,05:51:05 PM,7.7,PASS,,
verifyLoginPageTest,,LoginPageTest,05:51:05 PM,05:51:05 PM,0.2,PASS,,
enterEmailOrUsernameTest,,LoginPageTest,05:51:05 PM,05:51:05 PM,0.1,PASS,,
enterPasswordTest,,LoginPageTest,05:51:05 PM,05:51:06 PM,0.1,PASS,,
clickSignInButtonTest,,LoginPageTest,05:51:06 PM,05:51:11 PM,5.3,PASS,,
validateSecurityQuestionsPageTest,,SecurityQuestionsPageTest,05:51:11 PM,05:51:20 PM,9.0,PASS,,
verifyPhoneVerificationPageTest,,PhoneVerificationPageTest,05:51:20 PM,05:51:35 PM,15.3,PASS,,
verifySkipThisForNowLinkTest,,PhoneVerificationPageTest,05:51:35 PM,05:51:50 PM,15.3,PASS,,
verifyFLDashboardPageTest,,DashboardPageTest,05:51:51 PM,05:51:51 PM,0.2,PASS,,
clickJobsTabTest,,DashboardPageTest,05:51:51 PM,05:51:54 PM,3.2,PASS,,
verifyJobsPageTest,,JobsPageTest,05:51:54 PM,05:52:10 PM,16.1,FAIL,One of more element necessary for page verification didn't appear,
clickJobByNameTest,,JobsPageTest,05:52:11 PM,05:52:11 PM,0.1,PASS,,
enterMessageTest,,WorkroomPageTest,05:52:11 PM,05:52:17 PM,5.9,PASS,,
clickSendMessageTest,,WorkroomPageTest,05:52:17 PM,05:52:30 PM,12.5,PASS,,
signOutFlTest,,DashboardPageTest,05:52:30 PM,05:52:37 PM,6.8,PASS,,
verifyLoginPageTest,,LoginPageTest,05:52:37 PM,05:52:37 PM,0.1,PASS,,
enterEmailOrUsernameTest,,LoginPageTest,05:52:37 PM,05:52:37 PM,0.1,PASS,,
enterPasswordTest,,LoginPageTest,05:52:37 PM,05:52:37 PM,0.1,PASS,,
clickSignInButtonTest,,LoginPageTest,05:52:37 PM,05:52:40 PM,3.4,PASS,,
validateSecurityQuestionsPageTest,,SecurityQuestionsPageTest,05:52:40 PM,05:52:59 PM,18.9,PASS,,
verifyPhoneVerificationPageTest,,PhoneVerificationPageTest,05:52:59 PM,05:53:15 PM,15.2,PASS,,
verifySkipThisForNowLinkTest,,PhoneVerificationPageTest,05:53:15 PM,05:53:30 PM,15.2,PASS,,
verifyEMPDashboardPageTest,,DashboardPageTest,05:53:30 PM,05:53:30 PM,0.2,PASS,,
getMsgsCountAfterTest,,DashboardPageTest,05:53:30 PM,05:53:30 PM,0.1,PASS,,
verifyCountIncreasedTest,,DashboardPageTest,05:53:30 PM,05:53:30 PM,0.0,PASS,,
signOutEmployerTest,,DashboardPageTest,05:53:30 PM,05:53:36 PM,6.2,PASS,,
verifyLoginPageTest,,LoginPageTest,05:53:36 PM,05:53:36 PM,0.2,PASS,,
enterEmailOrUsernameTest,,LoginPageTest,05:53:36 PM,05:53:37 PM,0.1,PASS,,
enterPasswordTest,,LoginPageTest,05:53:37 PM,05:53:37 PM,0.1,PASS,,
clickSignInButtonTest,,LoginPageTest,05:53:37 PM,05:53:40 PM,3.5,PASS,,
validateSecurityQuestionsPageTest,,SecurityQuestionsPageTest,05:53:40 PM,05:53:55 PM,15.2,PASS,,
verifyPhoneVerificationPageTest,,PhoneVerificationPageTest,05:53:55 PM,05:54:11 PM,15.2,PASS,,
verifySkipThisForNowLinkTest,,PhoneVerificationPageTest,05:54:11 PM,05:54:26 PM,15.2,PASS,,
verifyFLDashboardPageTest,,DashboardPageTest,05:54:26 PM,05:54:26 PM,0.2,PASS,,
clickJobsTabTest,,DashboardPageTest,05:54:26 PM,05:54:28 PM,2.5,PASS,,
verifyJobsPageTest,,JobsPageTest,05:54:28 PM,05:54:29 PM,0.1,PASS,,
clickJobByNameTest,,JobsPageTest,05:54:29 PM,05:54:31 PM,2.5,PASS,,
clickAgreementTabTest,,WorkroomPageTest,05:54:31 PM,05:54:31 PM,0.1,PASS,,
verifyAgreementTabFLTest,,WorkroomPageTest,05:54:31 PM,05:54:32 PM,1.4,PASS,,
enterMessageTest,,WorkroomPageTest,05:54:32 PM,05:54:35 PM,2.6,PASS,,
clickAttachFilesTest,,WorkroomPageTest,05:54:35 PM,05:54:35 PM,0.5,PASS,,
clickSelectFilesTest,,WorkroomPageTest,05:54:35 PM,05:54:36 PM,0.1,PASS,,
uploadFileTest,,WorkroomPageTest,05:54:36 PM,05:54:51 PM,15.5,PASS,,
clickFinishedTest,,WorkroomPageTest,05:54:51 PM,05:55:01 PM,10.2,PASS,,
clickSendMessageTest,,WorkroomPageTest,05:55:01 PM,05:55:06 PM,5.2,PASS,,
clickSafePayTabTest,,WorkroomPageTest,05:55:06 PM,05:55:07 PM,0.1,PASS,,
verifyFLSafePayTabTest,,WorkroomPageTest,05:55:07 PM,05:55:08 PM,1.2,PASS,,
enterMessageTest,,WorkroomPageTest,05:55:08 PM,05:55:10 PM,2.5,PASS,,
clickAttachFilesTest,,WorkroomPageTest,05:55:10 PM,05:55:10 PM,0.1,PASS,,
clickSelectFilesTest,,WorkroomPageTest,05:55:10 PM,05:55:10 PM,0.1,PASS,,
uploadFileTest,,WorkroomPageTest,05:55:10 PM,05:55:27 PM,16.2,PASS,,
clickFinishedTest,,WorkroomPageTest,05:55:27 PM,05:55:37 PM,10.2,PASS,,
clickSendMessageTest,,WorkroomPageTest,05:55:37 PM,05:55:42 PM,5.1,PASS,,
